레시피ID,레시피명,메뉴 대분류,세부 카테고리,주재료,조리 유형,상황 태그,식사 유형,매운맛,기준 인분,재료명,재료 분량,재료 수,총 소요 시간(분),난이도,필요 도구,설거지 수준,조리 단계 수,조리 단계,단계별 시간,불 세기,보관 방법,재가열 방법,대체 재료,생략 가능 재료,초보 팁,실패 방지 팁,초보 적합도(5점),1인 가구 적합도(5점)
R0137,오트밀죽,죽,죽,"[오트밀, 계란]",[전자레인지],"[10분 이하, 전자레인지, 불 없이 가능, 설거지 적음, 아침 식사, 든든한 한 끼, 남은 재료 활용]","[아침, 점심·저녁]",없음,1인분,"[압착 오트밀, 물, 계란, 소금, 대파, 참기름, 김가루]","[50g, 300ml, 1개(50g), 0.5g, 8g, 2.5ml(1/2작은술), 2g(선택)]",7,8,매우 쉬움,"[전자레인지용 깊은 용기, 숟가락, 칼, 도마]",적음,6,"[1. 깊은 전자레인지용 용기에 오트밀과 물 300ml를 넣어 섞는다. ,  2. 전자레인지 700W에서 2분 돌린 뒤 꺼내 바닥까지 잘 젓는다. ,  3. 소금과 계란을 넣고 흰자 덩어리가 남지 않도록 빠르게 섞는다. ,  4. 다시 700W에서 1분 30초 가열한다. ,  5. 30초 두었다가 농도를 확인하고 너무 되직하면 물 30ml를 추가해 섞는다. ,  6. 대파, 참기름, 김가루를 올려 바로 먹는다.]","[1. 약 1분 ,  2. 2분 ,  3. 약 1분 ,  4. 1분 30초 ,  5. 30초 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 전자레인지 700W ,  3. 불 사용 없음 ,  4. 전자레인지 700W ,  5. 불 사용 없음 ,  6. 불 사용 없음]",가능하면 즉시 먹는다; 남으면 밀폐 냉장 1일,"물 또는 우유 50ml를 넣고 전자레인지 700W 1분 30초, 중간에 섞어 재가열",[물은 무가당 두유 300ml로 대체 가능],[계란·대파·참기름·김가루는 일부 생략 가능],"냄비 바닥을 긁듯 저으며 중약불을 유지하고, 되직하면 물을 30ml씩 추가해 농도를 맞춘다.",얕은 용기를 쓰면 쉽게 넘친다. 용량 700ml 이상의 깊은 용기를 쓰고 중간에 반드시 저어준다.,5,5
R0138,옥수수샐러드,샐러드,샐러드,"[옥수수, 오이, 당근]","[불 사용 없음, 무치기]","[10분 이하, 불 없이 가능, 설거지 적음]",[점심·저녁],없음,1인분,"[옥수수 통조림, 오이, 당근, 양파, 마요네즈, 식초, 설탕, 소금, 후추]","[150g(물기 뺀 중량), 50g, 20g, 20g, 25g, 5ml(1작은술), 3g, 0.5g, 0.1g]",9,10,매우 쉬움,"[체, 칼, 도마, 볼]",적음,6,"[1. 옥수수는 체에 밭쳐 국물을 빼고 찬물에 한 번 헹군 뒤 물기를 뺀다. ,  2. 오이, 당근, 양파를 0.5cm 이하로 잘게 다진다. ,  3. 다진 오이와 양파를 키친타월로 눌러 수분을 제거한다. ,  4. 볼에 마요네즈, 식초, 설탕, 소금, 후추를 섞는다. ,  5. 옥수수와 채소를 넣고 고루 섞는다. ,  6. 냉장고에서 5분 차게 두었다가 먹는다.]","[1. 약 1분 ,  2. 약 1분 ,  3. 약 3분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 5분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",밀폐 냉장 2일; 차갑게 먹고 재가열·냉동하지 않는다,차갑게 먹고 재가열·냉동하지 않는다,"[마요네즈 절반을 플레인 요거트로 대체 가능,  식초는 레몬즙으로 대체 가능]",[당근·양파 중 하나는 생략 가능],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,옥수수와 채소 물기가 남으면 소스가 묽어진다. 체에 충분히 받치고 키친타월로 수분을 제거한다.,5,5
R0139,웨지감자,간식·야식,감자 구이,[감자],"[에어프라이어, 굽기]","[에어프라이어, 불 없이 가능, 냉동 가능, 야식]","[간식, 야식]",없음,1인분,"[감자, 식용유 또는 올리브유, 소금, 후추, 파프리카가루, 파슬리가루]","[1개(250g), 15ml(1큰술), 1.2g, 0.1g, 1g(선택), 0.2g(선택)]",6,30,매우 쉬움,"[칼, 도마, 볼, 에어프라이어, 종이포일]",보통,7,"[1. 감자는 껍질째 깨끗이 씻어 길게 8조각으로 자른다. ,  2. 찬물에 5분 담가 전분을 빼고 키친타월로 물기를 완전히 닦는다. ,  3. 볼에 감자, 기름, 소금, 후추, 파프리카가루를 넣어 고루 섞는다. ,  4. 에어프라이어 바스켓에 감자가 겹치지 않게 펼친다. ,  5. 190℃에서 12분 굽고 바스켓을 흔들어 뒤집는다. ,  6. 다시 190℃에서 8~10분 구워 겉이 노릇하고 속이 부드러우면 꺼낸다. ,  7. 파슬리가루를 뿌리고 2분 식혀 먹는다.]","[1. 약 2분 ,  2. 5분 ,  3. 약 1분 ,  4. 약 1분 ,  5. 12분 ,  6. 8~10분 ,  7. 2분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 에어프라이어 ,  5. 에어프라이어 190℃ ,  6. 에어프라이어 190℃ ,  7. 불 사용 없음]",밀폐 냉장 2일; 냉동은 2주 가능하나 재가열 시간이 늘어난다,에어프라이어 180℃ 5분 재가열; 냉동은 2주 가능하나 재가열 시간이 늘어난다,[올리브유는 식용유로 대체 가능],[파프리카가루와 파슬리는 생략 가능],재료 표면의 물기를 닦고 팬을 충분히 예열한 뒤 올리면 달라붙음과 물 생김을 줄일 수 있다.,감자 물기가 남거나 겹치면 바삭하지 않다. 완전히 닦고 한 층으로 펼쳐 굽는다.,5,4
R0140,유부초밥,밥·덮밥,유부초밥,"[밥, 유부, 당근]","[불 사용 없음, 섞기, 성형하기]","[15분 이하, 불 없이 가능, 도시락 가능, 아침 식사, 든든한 한 끼]","[아침, 점심·저녁]",없음,1인분,"[밥, 시판 조미유부, 동봉 초밥소스, 당근, 오이, 통깨]","[200g, 8장(약 120g), 20ml 또는 식초 15ml+설탕 8g+소금 0.8g, 20g, 30g, 2g]",6,15,매우 쉬움,"[칼, 도마, 볼, 주걱, 위생장갑]",보통,6,"[1. 당근과 오이는 0.3cm 크기로 잘게 다지고 키친타월로 물기를 제거한다. ,  2. 따뜻한 밥에 초밥소스를 넣고 주걱으로 자르듯 섞는다. ,  3. 밥이 미지근해지면 당근, 오이, 통깨를 섞는다. ,  4. 조미유부는 국물을 가볍게 눌러 빼고 입구를 벌린다. ,  5. 밥을 8등분해 가볍게 뭉친다. ,  6. 유부 안에 밥을 80% 정도만 채워 모양을 잡는다.]","[1. 약 3분 ,  2. 약 3분 ,  3. 약 1분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",완성 당일 섭취 권장; 밀폐 냉장 1일; 냉동 비추천,차갑게 먹거나 전자레인지 700W 20초만 데운다,[없음],[당근·오이·통깨는 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,유부에 밥을 너무 많이 넣으면 찢어진다. 밥을 미지근하게 식히고 유부의 80%만 채운다.,5,5
R0141,잔치국수,면,국수,"[소면, 애호박, 당근]","[삶기, 끓이기]","[든든한 한 끼, 야식]","[점심·저녁, 야식]",없음,1인분,"[소면, 애호박, 당근, 계란, 대파, 김가루, 물, 국물용 멸치, 국간장, 진간장, 소금, 식용유]","[100g, 50g, 20g, 1개(50g), 10g, 2g, 650ml, 7마리(12g), 10ml(2작은술), 5ml(1작은술), 0.5g, 2.5ml]",12,25,보통,"[냄비 2개 또는 냄비와 팬, 체, 칼, 도마, 볼, 국자]",많음,7,"[1. 냄비에 물과 멸치를 넣고 끓기 시작한 뒤 중불에서 7분 끓여 멸치를 건진다. ,  2. 국간장, 진간장, 소금으로 육수 간을 맞춰 약불로 유지한다. ,  3. 애호박과 당근은 가늘게 채 썰어 팬에 식용유를 두르고 각각 1~2분 볶는다. ,  4. 계란은 풀어 얇은 지단을 부친 뒤 가늘게 썬다. ,  5. 다른 냄비에 물 1L를 끓여 소면을 약 3분 30초 삶고 찬물에 비벼 씻어 물기를 뺀다. ,  6. 면을 그릇에 담고 뜨거운 육수를 부어 한 번 헹군 뒤 국물을 따라낸다. ,  7. 다시 육수를 붓고 채소, 계란지단, 대파, 김가루를 올린다.]","[1. 7분 ,  2. 약 1분 ,  3. 1~2분 ,  4. 약 1분 ,  5. 3분 30초 ,  6. 약 1분 ,  7. 약 1분]","[1. 중불 ,  2. 약불 ,  3. 약불 ,  4. 불 사용 없음 ,  5. 약불 ,  6. 불 사용 없음 ,  7. 불 사용 없음]",면과 육수는 따로 보관; 육수는 밀폐 냉장 2일 후 완전히 끓여 사용; 삶은 면은 당일 섭취하며 재가열 시 퍼질 수 있다,육수는 밀폐 냉장 2일 후 완전히 끓여 사용; 삶은 면은 당일 섭취하며 재가열 시 퍼질 수 있다,[멸치는 코인육수 1개 또는 물만으로 대체 가능],[없음],면을 삶기 전에 양념과 고명을 모두 준비하고 타이머를 켜면 면이 퍼지는 것을 막기 쉽다.,삶은 면을 찬물에 충분히 씻지 않으면 국물이 탁해진다. 물이 맑아질 때까지 비벼 씻고 뜨거운 육수로 한 번 데운다.,3,4
R0142,제육덮밥,밥·덮밥,덮밥,"[밥, 돼지고기, 양파]","[볶기, 굽기]","[원팬 요리, 도시락 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],매움,1인분,"[밥, 돼지고기 앞다리살, 양파, 양배추, 대파, 식용유, 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘, 참기름]","[200g, 170g, 1/4개(50g), 80g, 20g, 10ml, 20g, 4g, 12.5ml, 8g, 15ml, 5g, 2.5ml]",13,20,쉬움,"[칼, 도마, 볼, 프라이팬, 집게, 밥그릇]",보통,7,"[1. 양파와 양배추는 한입 크기, 대파는 어슷하게 썬다. ,  2. 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘을 섞어 돼지고기와 5분 재운다. ,  3. 팬에 식용유를 두르고 중강불에서 고기를 펼쳐 3분 볶는다. ,  4. 양파와 양배추를 넣어 3분 더 볶는다. ,  5. 팬 바닥이 마르면 물 15ml를 넣고 돼지고기 속까지 2분 익힌다. ,  6. 대파와 참기름을 넣어 30초 섞는다. ,  7. 밥 위에 제육볶음과 남은 양념을 올린다.]","[1. 약 1분 ,  2. 5분 ,  3. 3분 ,  4. 3분 ,  5. 2분 ,  6. 30초 ,  7. 약 2분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중강불 ,  4. 중강불 ,  5. 중강불 ,  6. 불 사용 없음 ,  7. 불 사용 없음]",제육볶음과 밥을 따로 밀폐 냉장 2일,각각 전자레인지 700W에서 중심까지 뜨겁게 데운 뒤 합친다,"[앞다리살은 목살 또는 대패삼겹살 170g으로 대체 가능,  양배추는 애호박 80g으로 대체 가능,  맛술은 물로 대체 가능]",[없음],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,양념한 고기를 약불에서 오래 익히면 물이 생기고 질겨진다. 팬을 충분히 달군 뒤 고기를 넓게 펼쳐 볶는다.,4,5
R0143,제육볶음,메인요리,볶음,"[돼지고기, 양파, 양배추]",[볶기],"[원팬 요리, 도시락 가능, 든든한 한 끼, 밥반찬, 남은 재료 활용]",[점심·저녁],매움,1인분,"[돼지고기 앞다리살, 양파, 양배추, 대파, 식용유, 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘, 참기름, 통깨]","[180g, 1/4개(50g), 100g, 20g, 10ml, 20g, 5g, 12.5ml, 8g, 15ml, 5g, 2.5ml, 1g]",13,20,쉬움,"[칼, 도마, 볼, 큰 프라이팬, 집게]",보통,7,"[1. 양파와 양배추는 한입 크기, 대파는 어슷하게 썬다. ,  2. 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘을 섞는다. ,  3. 돼지고기를 양념에 넣고 붙은 조각을 풀어 5분 재운다. ,  4. 팬에 식용유를 두르고 중강불에서 고기를 펼쳐 3분 볶는다. ,  5. 양파와 양배추를 넣어 4분 더 볶는다. ,  6. 돼지고기 속의 분홍색이 없어지면 대파를 넣어 1분 볶는다. ,  7. 불을 끄고 참기름과 통깨를 섞는다.]","[1. 약 1분 ,  2. 약 1분 ,  3. 5분 ,  4. 3분 ,  5. 4분 ,  6. 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중강불 ,  5. 중강불 ,  6. 중강불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,팬 약불 3분 또는 전자레인지 700W 1분 30초 이상 중심까지 재가열,"[앞다리살은 목살 또는 대패삼겹살 180g으로 대체 가능,  맛술은 물로 대체 가능]",[양배추·통깨는 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",고기를 팬에 뭉쳐 넣으면 양념이 타고 속이 덜 익을 수 있다. 집게로 즉시 펼치고 불이 너무 세면 중불로 낮춘다.,4,5
R0144,진미채볶음,반찬,볶음,[진미채],[볶기],"[15분 이하, 원팬 요리, 칼 없이 가능, 설거지 적음, 도시락 가능, 밥반찬]",[점심·저녁],매움,1인분,"[진미채, 마요네즈, 고추장, 고춧가루, 진간장, 설탕, 올리고당, 물, 참기름, 통깨]","[80g, 10g(2작은술), 15g(1큰술), 2g(1작은술), 5ml(1작은술), 5g(1작은술), 15g(1큰술), 15ml(1큰술), 2.5ml, 1g]",10,12,쉬움,"[가위, 볼, 프라이팬, 뒤집개]",적음,6,"[1. 진미채는 가위로 5cm 길이로 자르고 너무 딱딱하면 물에 30초 헹군 뒤 물기를 짠다. ,  2. 볼에 진미채와 마요네즈를 넣어 고루 버무린다. ,  3. 팬에 고추장, 고춧가루, 진간장, 설탕, 물을 넣고 약불에서 30초 끓인다. ,  4. 불을 끄고 진미채를 넣어 양념이 고루 묻게 섞는다. ,  5. 올리고당과 참기름을 넣어 다시 섞는다. ,  6. 통깨를 뿌리고 넓게 펼쳐 완전히 식힌다.]","[1. 30초 ,  2. 약 1분 ,  3. 30초 ,  4. 약 1분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 약불 ,  4. 불 끔 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",완전히 식혀 밀폐 냉장 7일; 냉동 비추천,차갑게 먹고 재가열하지 않는다,[올리고당은 설탕 6g으로 대체 가능],[마요네즈·고춧가루·통깨는 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",진미채를 불 위에서 오래 볶으면 질겨진다. 양념만 끓인 뒤 불을 끄고 버무린다.,4,5
R0145,짜장라면,면,라면,"[짜장라면, 양파, 양배추]",[끓이기],"[10분 이하, 냄비 하나, 든든한 한 끼, 야식]","[점심·저녁, 야식]",없음,1인분,"[짜장라면, 물, 양파, 양배추, 계란, 식용유]","[1봉(면과 수프), 600ml 또는 제품 표시량, 40g, 50g, 1개(선택), 5ml(1작은술)]",6,10,매우 쉬움,"[냄비, 체 또는 뚜껑, 칼, 도마, 젓가락]",보통,7,"[1. 양파와 양배추는 1cm 크기로 썬다. ,  2. 냄비에 식용유를 두르고 중불에서 채소를 2분 볶는다. ,  3. 물과 건더기수프를 넣고 센불에서 끓인다. ,  4. 물이 끓으면 면을 넣어 제품 표시 시간대로 삶는다. ,  5. 물 30~45ml만 남기고 나머지를 따라낸다. ,  6. 분말 또는 액상 짜장수프를 넣고 약불에서 30초 고루 비빈다. ,  7. 계란을 사용할 경우 별도로 프라이해 올린다.]","[1. 약 1분 ,  2. 2분 ,  3. 약 2분 ,  4. 약 2분 ,  5. 약 1분 ,  6. 30초 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 센 불 ,  4. 센 불 ,  5. 불 사용 없음 ,  6. 약불 ,  7. 불 사용 없음]",완성 즉시 먹고 보관하지 않는다; 남으면 면이 퍼지고 소스가 굳는다,재가열 권장하지 않음,[없음],[양파·양배추·계란은 모두 생략 가능],면을 삶기 전에 양념과 고명을 모두 준비하고 타이머를 켜면 면이 퍼지는 것을 막기 쉽다.,물을 너무 많이 남기면 싱겁고 묽다. 계량스푼 기준 2~3큰술만 남기고 수프를 넣는다.,5,5
R0146,짜장밥,밥·덮밥,소스밥,"[밥, 돼지고기, 양파]","[볶기, 조리기]","[도시락 가능, 냉동 가능, 든든한 한 끼]",[점심·저녁],없음,1인분,"[밥, 돼지고기 앞다리살, 양파, 감자, 당근, 애호박, 식용유, 춘장, 설탕, 물, 전분, 전분물용 물]","[200g, 100g, 1/2개(100g), 80g, 30g, 60g, 10ml, 25g 또는 짜장분말 25g, 5g(춘장 사용 시), 300ml, 8g(춘장 사용 시), 20ml]",12,30,보통,"[칼, 도마, 깊은 프라이팬 또는 냄비, 뒤집개, 작은 그릇, 밥그릇]",보통,7,"[1. 돼지고기와 채소를 모두 1.5cm 크기로 썬다. ,  2. 팬에 식용유를 두르고 중불에서 돼지고기를 3분 볶는다. ,  3. 감자와 당근을 넣어 2분, 양파와 애호박을 넣어 2분 더 볶는다. ,  4. 춘장을 사용할 경우 팬 한쪽에서 설탕과 함께 1분 볶은 뒤 전체와 섞는다. 짜장분말은 이 단계를 생략한다. ,  5. 물 300ml를 넣고 중불에서 감자가 익을 때까지 10분 끓인다. ,  6. 짜장분말은 물 50ml에 풀어 넣고 2분 끓인다. 춘장은 전분물을 조금씩 넣어 1분 끓인다. ,  7. 소스가 걸쭉하고 돼지고기와 감자가 익으면 밥 위에 올린다.]","[1. 약 1분 ,  2. 3분 ,  3. 2분 + 2분 ,  4. 1분 ,  5. 10분 ,  6. 2분 + 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중불 ,  7. 불 사용 없음]",짜장소스와 밥을 따로 밀폐 냉장 3일; 소스는 소분 냉동 2주 가능,각각 전자레인지 700W에서 중심까지 뜨겁게 데워 합친다,[돼지고기는 다진 소고기 100g 또는 버섯 120g으로 대체 가능],[애호박·당근 중 하나는 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,"춘장을 바로 물에 풀면 떫은맛이 날 수 있다. 식용유에 1분 볶고, 전분물은 마지막에 조금씩 넣는다.",3,4
R0147,쫄면,면,쫄면,"[쫄면, 양배추, 오이]","[삶기, 비비기]","[냄비 하나, 든든한 한 끼, 야식]","[점심·저녁, 야식]",매움,1인분,"[쫄면사리, 양배추, 오이, 당근, 콩나물, 삶은 계란, 고추장, 식초, 설탕, 진간장, 고춧가루, 참기름, 통깨]","[200g, 70g, 50g, 20g, 70g, 1/2개(25g), 20g, 20ml, 12g, 5ml, 2g, 5ml, 2g]",13,20,쉬움,"[냄비, 체, 칼, 도마, 큰 볼, 집게]",보통,7,"[1. 양배추, 오이, 당근은 가늘게 채 썬다. ,  2. 콩나물은 끓는 물에 3분 데쳐 찬물에 헹구고 물기를 뺀다. ,  3. 큰 볼에 고추장, 식초, 설탕, 진간장, 고춧가루, 참기름, 통깨를 섞는다. ,  4. 쫄면사리는 손으로 충분히 풀어 끓는 물에 제품 표시 시간대로 3~4분 삶는다. ,  5. 삶은 면을 찬물에 여러 번 비벼 씻고 물기를 충분히 뺀다. ,  6. 면을 양념에 고루 비빈 뒤 채소와 콩나물을 섞는다. ,  7. 삶은 계란을 올린다.]","[1. 약 1분 ,  2. 3분 ,  3. 약 1분 ,  4. 3~4분 ,  5. 약 3분 ,  6. 약 1분 ,  7. 약 2분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중불 ,  5. 불 사용 없음 ,  6. 불 사용 없음 ,  7. 불 사용 없음]",완성 즉시 먹는다; 삶은 면은 보관하지 않는다; 양념은 별도 밀폐 냉장 3일 가능,재가열 권장하지 않음,[쫄면사리는 소면 또는 냉면사리로 대체 가능],[당근·콩나물·계란 중 일부는 생략 가능],면을 삶기 전에 양념과 고명을 모두 준비하고 타이머를 켜면 면이 퍼지는 것을 막기 쉽다.,쫄면 가닥을 풀지 않고 삶으면 속이 덜 익고 붙는다. 삶기 전에 손으로 완전히 분리한다.,4,4
R0148,찜닭,메인요리,찜·조림,"[닭다리살, 감자, 당근]",[조리기],"[냄비 하나, 도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],없음,1인분,"[닭다리살, 감자, 당근, 양파, 대파, 당면, 물, 진간장, 설탕, 맛술, 다진 마늘, 후추, 참기름]","[250g, 1개(180g), 50g, 1/2개(100g), 20g, 50g(선택), 400ml, 50ml(3큰술+1작은술), 15g(1큰술), 15ml, 7g, 0.1g, 5ml]",13,40,보통,"[볼, 칼, 도마, 깊은 냄비, 국자, 집게]",보통,7,"[1. 당면은 찬물에 20분 불리고 닭은 4cm, 감자는 3cm, 당근은 2cm, 양파는 3cm 크기로 썬다. ,  2. 냄비에 닭과 물을 넣고 센불에서 끓여 거품을 걷는다. ,  3. 진간장, 설탕, 맛술, 다진 마늘, 후추를 넣고 중불에서 10분 끓인다. ,  4. 감자와 당근을 넣고 뚜껑을 반쯤 덮어 10분 더 끓인다. ,  5. 양파와 불린 당면을 넣고 6분 끓인다. ,  6. 닭 속이 분홍색 없이 익고 감자가 부드러우면 대파를 넣는다. ,  7. 뚜껑을 열고 2~3분 졸인 뒤 참기름을 넣고 불을 끈다.]","[1. 20분 ,  2. 약 2분 ,  3. 10분 ,  4. 10분 ,  5. 6분 ,  6. 약 1분 ,  7. 2~3분]","[1. 불 사용 없음 ,  2. 센 불 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,냄비에 물 30ml를 넣어 완전히 끓인 뒤 3분 가열; 당면은 재가열 시 불 수 있다,"[닭다리살은 닭가슴살 220g으로 대체 가능,  맛술은 물로 대체 가능]",[당면·당근·참기름은 생략 가능],"양념은 불을 켜기 전에 한 그릇에 미리 섞고, 국물이 빨리 줄면 물을 1큰술씩 보충한다.",당면을 처음부터 넣으면 국물을 모두 흡수하고 바닥에 붙는다. 충분히 불린 뒤 마지막 6분에 넣는다.,2,3
R0149,참치 김치볶음밥,볶음밥,볶음밥,"[밥, 참치, 김치]","[전자레인지, 볶기]","[15분 이하, 원팬 요리, 전자레인지, 도시락 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],약간 매움,1인분,"[밥, 참치 통조림, 배추김치, 대파, 식용유, 고추장, 진간장, 설탕, 참기름, 김가루, 계란]","[200g, 80g, 110g, 20g, 5ml, 5g, 5ml, 2g, 2.5ml, 2g, 1개(선택)]",11,15,매우 쉬움,"[체, 칼, 도마, 프라이팬, 뒤집개]",보통,7,"[1. 참치는 체에 밭쳐 기름이나 물을 빼고 김치는 1cm 크기, 대파는 송송 썬다. ,  2. 찬밥은 전자레인지 700W에서 40초 데워 덩어리를 푼다. ,  3. 팬에 식용유와 대파를 넣어 중불에서 1분 볶는다. ,  4. 김치와 설탕을 넣어 3분 볶고 참치와 고추장을 넣는다. ,  5. 밥을 넣어 3분 볶은 뒤 진간장을 팬 가장자리에 넣어 섞는다. ,  6. 불을 끄고 참기름과 김가루를 넣는다. ,  7. 계란을 사용할 경우 별도로 프라이해 올린다.]","[1. 약 1분 ,  2. 40초 ,  3. 1분 ,  4. 3분 ,  5. 3분 ,  6. 약 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 전자레인지 700W ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 불 끔 ,  7. 불 사용 없음]",빠르게 식혀 밀폐 냉장 1일,"전자레인지 700W에서 2분, 중간에 한 번 섞어 중심까지 뜨겁게 데운다",[참치는 스팸 70g 또는 계란 2개로 대체 가능],[계란·김가루·참기름은 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,참치 기름과 김치국물을 빼지 않으면 볶음밥이 질어진다. 체에 받치고 김치를 먼저 충분히 볶는다.,5,5
R0150,참치 김치찌개,찌개,찌개,"[참치, 김치, 두부]","[볶기, 끓이기]","[냄비 하나, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],매움,1인분,"[참치 통조림, 배추김치, 두부, 양파, 대파, 물, 김치국물, 고춧가루, 국간장, 다진 마늘, 설탕]","[100g, 180g, 120g, 1/4개(50g), 15g, 450ml, 30ml, 3g, 5ml, 3g, 2g]",11,20,매우 쉬움,"[체, 칼, 도마, 냄비, 국자]",보통,6,"[1. 참치는 기름이나 물을 절반만 빼고 김치는 2cm 폭, 두부는 2cm, 양파는 1cm 폭으로 썬다. ,  2. 냄비에 김치, 설탕, 참치기름 5ml를 넣고 중불에서 3분 볶는다. ,  3. 물, 김치국물, 고춧가루, 다진 마늘을 넣고 센불에서 끓인다. ,  4. 끓으면 중불로 낮춰 8분 끓인다. ,  5. 참치, 두부, 양파를 넣어 4분 더 끓인다. ,  6. 국간장으로 간하고 대파를 넣어 1분 후 불을 끈다.]","[1. 약 1분 ,  2. 3분 ,  3. 약 2분 ,  4. 8분 ,  5. 4분 ,  6. 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 센 불 ,  4. 중불 ,  5. 중불 ,  6. 불 끔]",밀폐 냉장 2일; 두부 때문에 냉동 비추천,냄비에서 완전히 끓인 뒤 2분 가열,[참치는 스팸 80g 또는 돼지고기 100g으로 대체 가능],[두부와 양파는 생략 가능],"재료를 비슷한 크기로 썰고, 끓기 시작한 뒤 불을 낮춘 다음 마지막에 간을 맞춘다.",참치를 처음부터 오래 끓이면 살이 부서지고 퍽퍽해진다. 김치를 먼저 끓이고 마지막 4분에 넣는다.,5,5
